raw,normalized,script,status
Very nice news very good jidabad ਕਾਂਗਰਸ uk 🌹🙏,,,dropped:not_valid
Good,,,dropped:too_short
Khuda pahad nikla chuha ! 🤣🤣🤣🤣🤣,,,dropped:not_valid
Librands ko temporary sukun milta hai ye sab kar ke aur Modi ko aur jyada desh ka support milta hai.....,Librands ko temporary sukun milta hai ye sab kar ke aur Modi ko aur jyada desh ka support milta hai.,roman,kept
टूल kitiya गैंग सक्रिय कही भी कुछ नहीं।,टूल kitiya गैंग सक्रिय कही भी कुछ नहीं.,devanagari,kept
"●कुछ लोगों को 11वर्ष पहले जीर्ण कृच्छ साध्य- विवन्ध (कब्ज , Cons tipation) हूआ था। एक नाडी-कुशल वैद्य ने निदान कर उन्हें औषधि बतायी। ""हर 48 घंटे पर ""मोदी इस्तीफा देने जा रहे "" या *गुजराती लाबी जेल जाने की तैयारी में"" थम्बनेल वाले पॉडकास्ट जारी करते रहो । खुलकर शौच हो जायेगा।     ¶तबसे वे यह दवा नियमित ले रहे हैं।कदाचित् भूल जायें तो दशा शोचनीय (=हालत ख़राब) हो जाती है। सभी राष्ट्रभक्तो से निवेदन है कि उनकी व्याधि को समझें और मरीज़ के प्रति सहा नुभूति प्रदर्शित करें।","●कुछ लोगों को 11वर्ष पहले जीर्ण कृच्छ साध्य- विवन्ध (कब्ज , Cons tipation) हूआ था. एक नाडी-कुशल वैद्य ने निदान कर उन्हें औषधि बतायी. ""हर 48 घंटे पर ""मोदी इस्तीफा देने जा रहे "" या *गुजराती लाबी जेल जाने की तैयारी में"" थम्बनेल वाले पॉडकास्ट जारी करते रहो . खुलकर शौच हो जायेगा. ¶तबसे वे यह दवा नियमित ले रहे हैं.कदाचित् भूल जायें तो दशा शोचनीय (=हालत ख़राब) हो जाती है. सभी राष्ट्रभक्तो से निवेदन है कि उनकी व्याधि को समझें और मरीज़ के प्रति सहा नुभूति प्रदर्शित करें.",devanagari,kept
Thanks 👍👍✌️ america 😊,,,dropped:not_valid
Why Narendra Modi should resign . The electors of India shall decide who has to resign.The media person won't decide.,Why Narendra Modi should resign . The electors of India shall decide who has to resign.The media person won't decide.,roman,kept
Modi bhgayo Desh bchayo,Modi bhgayo Desh bchayo,roman,kept
Rahul Gandhi jannayak congress party jinadabad jinadabad,Rahul Gandhi jannayak congress party jinadabad jinadabad,roman,kept
🎉🎉,,,dropped:too_short
"A NEW METHOD, WITH MORPHED PHOTOS. BHAGAVAN MURUGAN  KNOWS WHAT ISTO BE DONE.","A NEW METHOD, WITH MORPHED PHOTOS. BHAGAVAN MURUGAN KNOWS WHAT ISTO BE DONE.",roman,kept
सच्चाई छुप नहीं सकती कभी बनावट के उसूलों से खुशबू आ नहीं सकती कभी कागज के फूलों से,सच्चाई छुप नहीं सकती कभी बनावट के उसूलों से खुशबू आ नहीं सकती कभी कागज के फूलों से,devanagari,kept
jindabad. jindabad. congress. party next. pm rahul. gainde. jindabad. ❤❤❤🎉🎉🎉,jindabad. jindabad. congress. party next. pm rahul. gainde. jindabad.,roman,kept
यह तो बहुत खुशी की बात है धन्यवाद शुक्रिया प्रभु सद्बुद्धि आएगी प्रधानमंत्री निष्ठा का दे दिया बहुत खुशी की बात है राधे राधे,यह तो बहुत खुशी की बात है धन्यवाद शुक्रिया प्रभु सद्बुद्धि आएगी प्रधानमंत्री निष्ठा का दे दिया बहुत खुशी की बात है राधे राधे,devanagari,kept
इसतिफा दिया तो अच्छे दिन जरूर आयेंगे,इसतिफा दिया तो अच्छे दिन जरूर आयेंगे,devanagari,kept
😂,,,dropped:too_short
"आज कौन सी तारीख है,ये समाचार कब का है शर्म करो कौन सा महीना चल रहा है","आज कौन सी तारीख है,ये समाचार कब का है शर्म करो कौन सा महीना चल रहा है",devanagari,kept
Bhut khusi ki bat hai ab des aur ਸਵਿਧਾਨ ਦੋਨੋਂ bach jaenge,,,dropped:not_valid
D r c सिरोही जिला राजस्थान से यह सब कुछ सस है तो देश बस गया,D r c सिरोही जिला राजस्थान से यह सब कुछ सस है तो देश बस गया,devanagari,kept
17th loksabha resign karega tabhi new lok sabha banega,17th loksabha resign karega tabhi new lok sabha banega,roman,kept
अभी 1 साल पुराना बात है,अभी 1 साल पुराना बात है,devanagari,kept
बिलकुल ताज़ा खबर के लिएबधाई,बिलकुल ताज़ा खबर के लिएबधाई,devanagari,kept
