video_id,video_title,comment_id,author,text,likes,timestamp,is_reply
MPALBVeaiho,Big Claims Go Viral: Modi Resignation Rumors & Epstein Files Explained | Fact Check & Analysis,Ugwy1UTXUKQJhnj4I1Z4AaABAg,@meetokaur6000,Very nice news very good jidabad ਕਾਂਗਰਸ uk 🌹🙏,0,1767484800,False
MPALBVeaiho,Big Claims Go Viral: Modi Resignation Rumors & Epstein Files Explained | Fact Check & Analysis,UgyAdllYBEA-m9FqJER4AaABAg,@DeepaRautela-ks7ls,Good,0,1767484800,False
MPALBVeaiho,Big Claims Go Viral: Modi Resignation Rumors & Epstein Files Explained | Fact Check & Analysis,UgytI6fkuE9OTYwrmox4AaABAg,@bccb_2264,Khuda pahad nikla chuha ! 🤣🤣🤣🤣🤣,0,1767484800,False
MPALBVeaiho,Big Claims Go Viral: Modi Resignation Rumors & Epstein Files Explained | Fact Check & Analysis,UgyNZrfXw8kd_fYyofh4AaABAg,@03615165,Librands ko temporary sukun milta hai ye sab kar ke aur Modi ko aur jyada desh ka support milta hai.....,2,1767484800,False
MPALBVeaiho,Big Claims Go Viral: Modi Resignation Rumors & Epstein Files Explained | Fact Check & Analysis,Ugx5f9Exh-siAjF5hHF4AaABAg,@SantoshTiwari-ec6bn,टूल kitiya गैंग सक्रिय कही भी कुछ नहीं।,0,1767484800,False
MPALBVeaiho,Big Claims Go Viral: Modi Resignation Rumors & Epstein Files Explained | Fact Check & Analysis,UgzoeKg4legHPB6RQP14AaABAg,@vijaipratap7920,"●कुछ लोगों को 11वर्ष पहले जीर्ण कृच्छ साध्य- विवन्ध (कब्ज , Cons tipation) हूआ था। एक नाडी-कुशल वैद्य ने निदान कर उन्हें औषधि बतायी। ""हर 48 घंटे पर ""मोदी इस्तीफा देने जा रहे "" या *गुजराती लाबी जेल जाने की तैयारी में"" थम्बनेल वाले पॉडकास्ट जारी करते रहो । खुलकर शौच हो जायेगा। 
 
 ¶तबसे वे यह दवा नियमित ले रहे हैं।कदाचित् भूल जायें तो दशा शोचनीय (=हालत ख़राब) हो जाती है। सभी राष्ट्रभक्तो से निवेदन है कि उनकी व्याधि को समझें और मरीज़ के प्रति सहा नुभूति प्रदर्शित करें।",0,1767484800,False
MPALBVeaiho,Big Claims Go Viral: Modi Resignation Rumors & Epstein Files Explained | Fact Check & Analysis,Ugx-FqutH8NE2TmnEU94AaABAg,@ManjuMalik-k1r,Thanks 👍👍✌️ america 😊,0,1767484800,False
MPALBVeaiho,Big Claims Go Viral: Modi Resignation Rumors & Epstein Files Explained | Fact Check & Analysis,Ugy37Air0oZCQEOSqIx4AaABAg,@ShankerSingh-zw6jk,Why Narendra Modi should resign . The electors of India shall decide who has to resign.The media person won't decide.,0,1767484800,False
MPALBVeaiho,Big Claims Go Viral: Modi Resignation Rumors & Epstein Files Explained | Fact Check & Analysis,UgwIUI6Kmwud-c_6NQ54AaABAg,@mustafa-t5l3f,Modi bhgayo Desh bchayo,0,1767484800,False
MPALBVeaiho,Big Claims Go Viral: Modi Resignation Rumors & Epstein Files Explained | Fact Check & Analysis,UgzAezuORskkA4PqRCN4AaABAg,@DaulalKanwar-f4i,Rahul Gandhi jannayak congress party jinadabad jinadabad,1,1767484800,False
MPALBVeaiho,Big Claims Go Viral: Modi Resignation Rumors & Epstein Files Explained | Fact Check & Analysis,UgzAezuORskkA4PqRCN4AaABAg.AQxCa67DmWdAQy82INI5mI,@artijha4610,🎉🎉,0,1767484800,True
